topic,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_us,United States,2021,total_pop,329725481,0,NA,NA
total_pop,2_state,Connecticut,2021,total_pop,3605330,0,NA,NA
total_pop,3_county,Fairfield County,2021,total_pop,956446,0,NA,NA
total_pop,3_county,Hartford County,2021,total_pop,898636,0,NA,NA
total_pop,3_county,Litchfield County,2021,total_pop,185175,0,NA,NA
total_pop,3_county,Middlesex County,2021,total_pop,164568,0,NA,NA
total_pop,3_county,New Haven County,2021,total_pop,864751,0,NA,NA
total_pop,3_county,New London County,2021,total_pop,269131,0,NA,NA
total_pop,3_county,Tolland County,2021,total_pop,150120,0,NA,NA
total_pop,3_county,Windham County,2021,total_pop,116503,0,NA,NA
total_pop,4_region,6 wealthiest Fairfield County,2021,total_pop,123105,98,NA,NA
total_pop,4_region,Capitol Region COG,2021,total_pop,975609,328,NA,NA
total_pop,4_region,Eastern cities,2021,total_pop,130771,149,NA,NA
total_pop,4_region,Greater Bridgeport,2021,total_pop,325985,85,NA,NA
total_pop,4_region,Greater Bridgeport COG,2021,total_pop,325985,85,NA,NA
total_pop,4_region,Greater Danbury,2021,total_pop,267618,342,NA,NA
total_pop,4_region,Greater Danbury other towns,2021,total_pop,153347,338,NA,NA
total_pop,4_region,Greater Hartford,2021,total_pop,975609,328,NA,NA
total_pop,4_region,Greater New Haven,2021,total_pop,465488,134,NA,NA
total_pop,4_region,Greater Norwalk,2021,total_pop,167388,92,NA,NA
total_pop,4_region,Greater Norwalk other towns,2021,total_pop,76567,77,NA,NA
total_pop,4_region,Greater Waterbury,2021,total_pop,339212,514,NA,NA
total_pop,4_region,Hartford Foundation,2021,total_pop,759548,315,NA,NA
total_pop,4_region,Hartford Foundation other towns,2021,total_pop,637986,307,NA,NA
total_pop,4_region,Hartford Inner Ring,2021,total_pop,426279,132,NA,NA
total_pop,4_region,Hartford Outer Ring,2021,total_pop,353746,290,NA,NA
total_pop,4_region,Lower Connecticut River Valley COG,2021,total_pop,174580,378,NA,NA
total_pop,4_region,Lower Naugatuck Valley,2021,total_pop,139364,91,NA,NA
total_pop,4_region,Naugatuck Valley COG,2021,total_pop,450204,150,NA,NA
total_pop,4_region,New Haven Inner Ring,2021,total_pop,144732,84,NA,NA
total_pop,4_region,New Haven Outer Ring,2021,total_pop,186882,95,NA,NA
total_pop,4_region,North Central DMHAS,2021,total_pop,1008086,330,NA,NA
total_pop,4_region,Northeastern COG,2021,total_pop,95509,506,NA,NA
total_pop,4_region,Northwest Hills COG,2021,total_pop,112277,598,NA,NA
total_pop,4_region,Other New Haven County cities,2021,total_pop,105218,97,NA,NA
total_pop,4_region,South Central COG,2021,total_pop,570706,165,NA,NA
total_pop,4_region,South Central DMHAS,2021,total_pop,824281,210,NA,NA
total_pop,4_region,Southeastern COG,2021,total_pop,281045,437,NA,NA
total_pop,4_region,Southeastern DMHAS,2021,total_pop,436038,763,NA,NA
total_pop,4_region,Southwestern DMHAS,2021,total_pop,713133,162,NA,NA
total_pop,4_region,Western COG,2021,total_pop,619415,283,NA,NA
total_pop,4_region,Western DMHAS,2021,total_pop,623792,657,NA,NA
total_pop,6_town,Bethel,2021,total_pop,20287,35,NA,NA
total_pop,6_town,Bridgeport,2021,total_pop,148529,44,NA,NA
total_pop,6_town,Brookfield,2021,total_pop,17428,22,NA,NA
total_pop,6_town,Danbury,2021,total_pop,86197,37,NA,NA
total_pop,6_town,Darien,2021,total_pop,21485,50,NA,NA
total_pop,6_town,Easton,2021,total_pop,7602,17,NA,NA
total_pop,6_town,Fairfield,2021,total_pop,61737,42,NA,NA
total_pop,6_town,Greenwich,2021,total_pop,63455,50,NA,NA
total_pop,6_town,Monroe,2021,total_pop,18927,26,NA,NA
total_pop,6_town,New Canaan,2021,total_pop,20574,29,NA,NA
total_pop,6_town,New Fairfield,2021,total_pop,13640,21,NA,NA
total_pop,6_town,Newtown,2021,total_pop,27388,32,NA,NA
total_pop,6_town,Norwalk,2021,total_pop,90821,49,NA,NA
total_pop,6_town,Redding,2021,total_pop,8831,31,NA,NA
total_pop,6_town,Ridgefield,2021,total_pop,25053,32,NA,NA
total_pop,6_town,Shelton,2021,total_pop,40944,39,NA,NA
total_pop,6_town,Sherman,2021,total_pop,3545,19,NA,NA
total_pop,6_town,Stamford,2021,total_pop,134820,76,NA,NA
