level,city,town,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,,,Connecticut,3605330,744491,0.21,2860839,0.79,620179,0.17,2340848,0.65,359156,0.1,610065,0.17,295261,0.08,534220,0.15,1397324,925503,0.66,478026,0.35,3503694,351476,0.1,789397,0.23,735661,97861,0.13,216028,0.29,601003,45924,0.08,128264,0.21
4_region,,,Greater Hartford,975609,200053,0.21,775556,0.79,164598,0.17,599865,0.61,116929,0.12,167112,0.17,91703,0.09,143738,0.15,384403,251035,0.65,124606,0.33,941255,103696,0.11,218612,0.23,197617,28076,0.14,58807,0.3,159412,14053,0.09,36465,0.23
6_town,,,Hartford,121562,28350,0.23,93212,0.77,13957,0.11,17843,0.15,41439,0.34,55255,0.45,7025,0.06,25938,0.21,46879,11961,0.26,23822,0.54,114658,32602,0.28,59824,0.52,27887,10481,0.38,18461,0.66,13582,3576,0.26,6702,0.49
6_town,,,West Hartford,64034,14258,0.22,49776,0.78,11801,0.18,44470,0.69,4274,0.07,8416,0.13,6874,0.11,10896,0.17,25805,17969,0.7,7414,0.29,63021,3964,0.06,8568,0.14,14217,950,0.07,1930,0.14,11270,996,0.09,2472,0.22
7_neighborhood,Hartford,Hartford,Asylum Hill,10339,2293,0.22,8046,0.78,1061,0.1,1305,0.13,4951,0.48,3000,0.29,1083,0.1,2357,0.23,4910,531,0.11,2538,0.56,10182,2492,0.24,6250,0.61,2289,463,0.2,1788,0.78,1060,379,0.36,627,0.59
7_neighborhood,Hartford,Hartford,Barry Square,14306,3124,0.22,11182,0.78,1134,0.08,2370,0.17,2885,0.2,8200,0.57,854,0.06,3263,0.23,4703,795,0.17,2693,0.59,12351,4069,0.33,7573,0.61,3063,1359,0.44,2297,0.75,1133,296,0.26,451,0.4
7_neighborhood,Hartford,Hartford,Behind the Rocks,8308,1717,0.21,6591,0.79,920,0.11,722,0.09,1562,0.19,5749,0.69,275,0.03,1442,0.17,3086,1141,0.37,1518,0.52,8308,2099,0.25,4320,0.52,1717,463,0.27,1047,0.61,920,305,0.33,409,0.44
7_neighborhood,Hartford,Hartford,Blue Hills,10737,1513,0.14,9224,0.86,1701,0.16,2249,0.21,7472,0.7,697,0.06,319,0.03,2605,0.24,2925,1918,0.66,1375,0.49,7778,810,0.1,2648,0.34,1373,120,0.09,510,0.37,1701,140,0.08,515,0.3
7_neighborhood,Hartford,Hartford,Clay Arsenal,6274,2061,0.33,4213,0.67,439,0.07,49,0.01,2879,0.46,3301,0.53,45,0.01,688,0.11,2530,219,0.09,1525,0.65,6274,3158,0.5,4414,0.7,2061,1382,0.67,1792,0.87,439,226,0.51,334,0.76
7_neighborhood,Hartford,Hartford,Downtown,2647,165,0.06,2482,0.94,143,0.05,1183,0.45,410,0.16,452,0.17,602,0.23,685,0.26,1724,197,0.11,559,0.35,2565,410,0.16,610,0.24,162,48,0.3,78,0.48,142,8,0.06,26,0.18
