level,city,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,,Connecticut,3605330,744491,0.21,2860839,0.79,620179,0.17,2340848,0.65,359156,0.1,610065,0.17,295261,0.08,534220,0.15,1397324,925503,0.66,478026,0.35,3503694,351476,0.1,789397,0.23,735661,97861,0.13,216028,0.29,601003,45924,0.08,128264,0.21
4_region,,Greater New Haven,465488,92865,0.2,372623,0.8,78839,0.17,273462,0.59,75327,0.16,78103,0.17,38596,0.08,64478,0.14,177829,105619,0.59,65657,0.38,446172,51746,0.12,112210,0.25,91787,13718,0.15,30044,0.33,76632,5613,0.07,16462,0.21
6_town,,New Haven,133874,29931,0.22,103943,0.78,14075,0.11,38480,0.29,42925,0.32,40607,0.3,11862,0.09,23239,0.17,50264,14077,0.28,23875,0.49,125332,30817,0.25,59121,0.47,29462,9249,0.31,17918,0.61,13617,2363,0.17,6028,0.44
7_neighborhood,New Haven,Amity,4884,1007,0.21,3877,0.79,429,0.09,794,0.16,3074,0.63,921,0.19,95,0.02,606,0.12,1699,796,0.47,767,0.47,4884,1188,0.24,2054,0.42,1007,463,0.46,722,0.72,429,100,0.23,193,0.45
7_neighborhood,New Haven,Annex,7075,2581,0.36,4494,0.64,750,0.11,1469,0.21,1195,0.17,3992,0.56,419,0.06,1218,0.17,2480,780,0.31,1195,0.49,7048,2120,0.3,3589,0.51,2554,1102,0.43,1576,0.62,750,50,0.07,391,0.52
7_neighborhood,New Haven,Beaver Hills,6755,1948,0.29,4807,0.71,578,0.09,1315,0.19,3735,0.55,1241,0.18,467,0.07,852,0.13,2060,672,0.33,1036,0.51,6504,1222,0.19,2612,0.4,1937,370,0.19,865,0.45,580,88,0.15,169,0.29
7_neighborhood,New Haven,Dixwell,4949,1014,0.2,3935,0.8,400,0.08,712,0.14,2712,0.55,829,0.17,696,0.14,452,0.09,1599,313,0.2,799,0.52,4209,1255,0.3,2303,0.55,996,353,0.35,581,0.58,400,108,0.27,262,0.66
7_neighborhood,New Haven,Downtown,11598,736,0.06,10862,0.94,663,0.06,5765,0.5,1562,0.13,1682,0.15,2589,0.22,2875,0.25,4455,325,0.07,1847,0.45,7431,2299,0.31,2914,0.39,689,373,0.54,402,0.58,661,27,0.04,120,0.18
7_neighborhood,New Haven,Dwight,3656,706,0.19,2950,0.81,280,0.08,860,0.24,1461,0.4,1133,0.31,202,0.06,518,0.14,1935,44,0.02,1150,0.61,3656,1035,0.28,2399,0.66,706,198,0.28,665,0.94,280,92,0.33,226,0.81
7_neighborhood,New Haven,East Rock,8791,1306,0.15,7485,0.85,676,0.08,5008,0.57,789,0.09,1806,0.21,1190,0.14,2063,0.23,3863,773,0.2,1493,0.4,8779,1641,0.19,2837,0.32,1307,254,0.19,541,0.41,669,20,0.03,179,0.27
