level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,Connecticut,3605330,744491,0.21,620179,0.17,1768860,0.49,1836470,0.51,2340848,0.65,359156,0.1,610065,0.17,295261,0.08,534220,0.15,1397324,925503,0.66,478026,0.35,1279150,0.92,2515137,225021,0.09,1019966,0.41,83572,3503694,351476,0.1,789397,0.23,735661,97861,0.13,216028,0.29,601003,45924,0.08,128264,0.21
3_county,Fairfield County,956446,214928,0.22,151385,0.16,468448,0.49,487998,0.51,571692,0.6,102309,0.11,196340,0.21,86105,0.09,213548,0.22,349443,232832,0.67,133375,0.39,323560,0.93,654962,64225,0.1,322329,0.49,101194,939754,86408,0.09,199015,0.21,212866,25650,0.12,57829,0.27,147334,11456,0.08,29402,0.2
3_county,Hartford County,898636,189748,0.21,152765,0.17,438965,0.49,459671,0.51,530356,0.59,115881,0.13,169097,0.19,83302,0.09,138491,0.15,356529,230908,0.65,117109,0.34,321137,0.9,628684,60946,0.1,246594,0.39,80320,878283,96139,0.11,207787,0.24,187564,27854,0.15,58708,0.31,147908,13380,0.09,34779,0.24
3_county,Litchfield County,185175,33637,0.18,39659,0.21,92370,0.5,92805,0.5,160108,0.86,2979,0.02,13211,0.07,8877,0.05,13935,0.08,74857,57096,0.76,23401,0.32,70848,0.95,137919,8426,0.06,49906,0.36,84797,182806,14267,0.08,32582,0.18,32774,3132,0.1,7066,0.22,38758,2044,0.05,6772,0.17
3_county,Middlesex County,164568,28878,0.18,33773,0.21,80905,0.49,83663,0.51,135257,0.82,7745,0.05,10975,0.07,10591,0.06,12914,0.08,68200,50544,0.74,20974,0.31,64766,0.95,121357,6084,0.05,52937,0.44,90833,159560,10261,0.06,26394,0.17,28703,1862,0.06,5298,0.18,32522,1989,0.06,5953,0.18
3_county,New Haven County,864751,175495,0.2,149899,0.17,418910,0.48,445841,0.52,525718,0.61,109697,0.13,166048,0.19,63288,0.07,115694,0.13,336400,208977,0.62,118536,0.36,299714,0.89,604512,58496,0.1,221536,0.37,75043,838405,96186,0.11,212101,0.25,173401,27318,0.16,59191,0.34,144896,11392,0.08,32892,0.23
3_county,New London County,269131,52604,0.2,49358,0.18,135514,0.5,133617,0.5,199072,0.74,13981,0.05,30806,0.11,25272,0.09,23431,0.09,109481,73645,0.67,33935,0.32,102464,0.94,189965,13223,0.07,65643,0.35,79040,257900,22436,0.09,57089,0.22,51970,6777,0.13,15687,0.3,47762,2710,0.06,9852,0.21
3_county,Tolland County,150120,26087,0.17,23932,0.16,75675,0.5,74445,0.5,124144,0.83,4330,0.03,9043,0.06,12603,0.08,10856,0.07,56989,40072,0.7,16742,0.3,54337,0.95,95783,4959,0.05,41014,0.43,88525,135408,13138,0.1,26308,0.19,25592,1860,0.07,4670,0.18,23209,1453,0.06,4097,0.18
3_county,Windham County,116503,23114,0.2,19408,0.17,58073,0.5,58430,0.5,94501,0.81,2234,0.02,14545,0.12,5223,0.04,5351,0.05,45425,31429,0.69,13954,0.32,42324,0.93,81955,8662,0.11,20007,0.24,71418,111578,12641,0.11,28121,0.25,22791,3408,0.15,7579,0.33,18614,1500,0.08,4517,0.24
4_region,6 wealthiest Fairfield County,123105,34895,0.28,19613,0.16,60436,0.49,62669,0.51,103526,0.84,1374,0.01,6495,0.05,11710,0.1,16354,0.13,42221,36757,0.87,13415,0.32,41388,0.98,80048,1537,0.02,62813,0.78,NA,122485,3896,0.03,9178,0.07,34775,886,0.03,2397,0.07,19283,812,0.04,2039,0.11
